Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Coordinate,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Sunrise_time,Sunrise_hour,Sunrise_minute,Sunset_time,Sunset_hour,Sunset_minute,Year,Month,DayOfMonth,DayOfWeekName,DayOfWeek,DayOfYear,WeekOfYear,IsLeadYear,Quarter
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,"-87.800991,41.95469",1,88,60,74,10,58,65,0,9,0,0.0,0.0,29.39,30.11,5.8,18,6.5,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,"-87.800991,41.95469",1,88,60,74,10,58,65,0,9,0,0.0,0.0,29.39,30.11,5.8,18,6.5,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,"-87.769279,41.994991",1,88,60,74,10,58,65,0,9,0,0.0,0.0,29.39,30.11,5.8,18,6.5,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,"-87.824812,41.974089",1,88,60,74,10,58,65,0,9,0,0.0,0.0,29.39,30.11,5.8,18,6.5,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,"-87.824812,41.974089",1,88,60,74,10,58,65,0,9,0,0.0,0.0,29.39,30.11,5.8,18,6.5,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,"-87.795585,41.999128999999996",1,88,60,74,10,58,65,0,9,0,0.0,0.0,29.39,30.11,5.8,18,6.5,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,"-87.666455,41.9216",2,88,65,77,10,59,66,0,12,0,0.0,0.0,29.44,30.09,5.8,16,7.4,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,"-87.65449100000001,41.891118",2,88,65,77,10,59,66,0,12,0,0.0,0.0,29.44,30.09,5.8,16,7.4,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,"-87.654224,41.867108",2,88,65,77,10,59,66,0,12,0,0.0,0.0,29.44,30.09,5.8,16,7.4,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,"-87.654224,41.867108",2,88,65,77,10,59,66,0,12,0,0.0,0.0,29.44,30.09,5.8,16,7.4,421,4,21,1917,19,17,2007,5,29,Tuesday,1,149,22,False,2
